    New chain ID            Original chain ID

5iv5-pdb-bundle1.pdb:
           A                         A
           B                         B
           C                         C
           D                         D
           E                         E
           F                         F
           G                         G
           H                         H
           I                         I
           J                         J
           K                         K
           L                         L
           M                         M
           N                         N
           O                         O
           P                         P
           Q                         Q
           R                         R
           S                         S
           T                         T
           U                         U
           V                         V
           W                         W
           X                         X
           Y                         Y
           Z                         Z
           a                         a
           b                         b
           c                         c
           d                         d
           e                         e

5iv5-pdb-bundle2.pdb:
           A                         f
           B                         g
           C                         h
           D                         i
           E                         j
           F                         k
           G                         l
           H                         m
           I                         n
           J                         o
           K                         p
           L                         q
           M                         r
           N                         s
           O                         t
           P                         u
           Q                         v
           R                         w
           S                         x
           T                         y
           U                         z
           V                        AA
           W                        AB
           X                        AC
           Y                        AD
           Z                        AE
           a                        AF
           b                        AG
           c                        AH
           d                        AI
           e                        AJ

5iv5-pdb-bundle3.pdb:
           A                        BA
           B                        BB
           C                        BC
           D                        BD
           E                        BE
           F                        BF
           G                        BG
           H                        BH
           I                        BI
           J                        BJ
           K                        CA
           L                        CB
           M                        CC
           N                        CD
           O                        CE
           P                        CF
           Q                        CG
           R                        CH
           S                        CI
           T                        CJ
           U                        DA
           V                        DB
           W                        DC
           X                        DD
           Y                        DE
           Z                        DF
           a                        DG
           b                        DH
           c                        DI
           d                        DJ
           e                        EA
           f                        EB
           g                        EC

5iv5-pdb-bundle4.pdb:
           A                        ED
           B                        EE
           C                        EF
           D                        EG
           E                        EH
           F                        EI
           G                        EJ
           H                        FA
           I                        FB
           J                        FC
           K                        FD
           L                        FE
           M                        FF
           N                        FG
           O                        FH
           P                        FI
           Q                        FJ
           R                        GA
           S                        GB
           T                        GC
           U                        GD
           V                        GE
           W                        GF
           X                        GG
           Y                        GH
           Z                        GI
           a                        GJ
           b                        HA
           c                        HB
           d                        HC
           e                        HD
           f                        HE
           g                        HF

5iv5-pdb-bundle5.pdb:
           A                        HG
           B                        HH
           C                        HI
           D                        HJ
           E                        IA
           F                        IB
           G                        IC
           H                        ID
           I                        IE
           J                        IF
           K                        YA
           L                        YB
           M                        YC

5iv5-pdb-bundle6.pdb:
           A                        YD
           B                        YE
           C                        YF
           D                        ZA
