{0: 'ReplicaExchange_SwapSuccessRatio', 1: 'ReplicaExchange_MinTempFrequency', 2: 'MonteCarlo_Nframe', 3: 'ReplicaExchange_MaxTempFrequency', 4: 'Total_Score', 5: 'rmf_frame_index', 6: 'ReplicaExchange_CurrentTemp', 7: 'rmf_file', 8: 'MonteCarlo_Temperature', 'STAT2HEADER_IMP_VERSIONS': "{'PMI_VERSION': 'develop-5a48624', 'IMP_VERSION': 'develop-5a48624'}", 10: 'MonteCarlo_Acceptance_created rigid body mover_0', 11: 'ExcludedVolumeSphere_None', 12: 'ConnectivityRestraint_None', 9: 'Stopwatch_None_delta_seconds', 'STAT2HEADER': 'STAT2HEADER', 'STAT2HEADER_ENVIRON': "{'VERSIONER_PYTHON_PREFER_32_BIT': 'no', 'TERM_PROGRAM_VERSION': '343.7', 'LOGNAME': 'riccardopellarin', 'USER': 'riccardopellarin', 'IMP_BIN_DIR': '/Users/riccardopellarin/imp-project/imp-060516/imp-fast/bin', 'PATH': '/Users/riccardopellarin/imp-project/imp-060516/imp-fast/bin:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/algebra:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/atom:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/bayesianem:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/benchmark:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/cgal:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/container:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/core:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/crosslinkms:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/display:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/domino:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/em:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/evcov:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/example:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/foxs:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/gsl:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/isd:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/kernel:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/kinematics:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/kmeans:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/misc:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/modeller:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/mpi:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/multi_state:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/multifit:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/parallel:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/pepdock:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/pmi:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/rmf:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/rotamer:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/saxs:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/saxs_merge:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/score_functor:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/scratch:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/statistics:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/symmetry:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/test:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/bin:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/bin:/opt/local/bin:/opt/local/sbin:/sw/bin:/sw/lib:/opt/local/bin:/opt/local/sbin:/usr/local/bin:/usr/bin:/bin:/usr/sbin:/sbin:/opt/X11/bin:/usr/texbin', 'DISPLAY': '/private/tmp/com.apple.launchd.Ti3qNsstH1/org.macosforge.xquartz:0', 'TERM_PROGRAM': 'Apple_Terminal', 'LANG': 'en_US.UTF-8', 'TERM': 'xterm-256color', 'Apple_PubSub_Socket_Render': '/private/tmp/com.apple.launchd.WWK9eFMbSq/Render', 'VERSIONER_PYTHON_VERSION': '2.7', 'SHLVL': '1', 'IMP_DATA': '/Users/riccardopellarin/imp-project/imp-060516/imp-fast/data', 'IMP_EXAMPLE_DATA': '/Users/riccardopellarin/imp-project/imp-060516/imp-fast/doc/examples', 'XPC_FLAGS': '0x0', 'IMP_TMP_DIR': '/Users/riccardopellarin/imp-project/imp-060516/imp-fast/tmp', 'HOME': '/Users/riccardopellarin', 'TERM_SESSION_ID': 'BAA5F11E-F802-4361-9FF8-3CA90D9DD9A7', 'XPC_SERVICE_NAME': '0', 'PYTHONPATH': '/Users/riccardopellarin/imp-project/imp-060516/imp-fast/lib:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/lib:', 'SSH_AUTH_SOCK': '/private/tmp/com.apple.launchd.EO8cddATao/Listeners', 'DYLD_LIBRARY_PATH': '/Users/riccardopellarin/imp-project/imp-060516/imp-fast/lib:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/lib:', 'SHELL': '/bin/bash', 'TMPDIR': '/var/folders/8x/b3_nk3_12858h5q_fcc3t3nm0000gn/T/', '__CF_USER_TEXT_ENCODING': '0x1F5:0x0:0x0', 'PWD': '/Users/riccardopellarin/imp-project/T6SS_Base_Plate/data/scripts/cross-link_analysis/TssK'}"} 
{0: '0', 1: '0', 2: '0', 3: '0', 4: '0.0', 5: 0, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.030002', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '1', 3: '0.0', 4: '0.0', 5: 1, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.003944', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '2', 3: '0.0', 4: '0.0', 5: 2, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.002994', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '3', 3: '0.0', 4: '0.0', 5: 3, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.003803', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '4', 3: '0.0', 4: '0.0', 5: 4, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.002929', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '5', 3: '0.0', 4: '0.0', 5: 5, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.002893', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '6', 3: '0.0', 4: '0.0', 5: 6, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.002866', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '7', 3: '0.0', 4: '0.0', 5: 7, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.004697', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '8', 3: '0.0', 4: '0.0', 5: 8, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.006219', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '9', 3: '0.0', 4: '0.0', 5: 9, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.005858', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '10', 3: '0.0', 4: '0.0', 5: 10, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.003038', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '11', 3: '0.0', 4: '0.0', 5: 11, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.003201', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '12', 3: '0.0', 4: '0.0', 5: 12, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.004693', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '13', 3: '0.0', 4: '0.0', 5: 13, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.003016', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '14', 3: '0.0', 4: '0.0', 5: 14, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.002832', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '15', 3: '0.0', 4: '0.0', 5: 15, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.002871', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '16', 3: '0.0', 4: '0.0', 5: 16, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.003278', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '17', 3: '0.0', 4: '0.0', 5: 17, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.00304', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '18', 3: '0.0', 4: '0.0', 5: 18, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.005131', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '19', 3: '0.0', 4: '0.0', 5: 19, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.003677', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '20', 3: '0.0', 4: '0.0', 5: 20, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.003528', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '21', 3: '0.0', 4: '0.0', 5: 21, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.00437', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '22', 3: '0.0', 4: '0.0', 5: 22, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.005739', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '23', 3: '0.0', 4: '0.0', 5: 23, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.00312', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '24', 3: '0.0', 4: '0.0', 5: 24, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.002743', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '25', 3: '0.0', 4: '0.0', 5: 25, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.002966', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '26', 3: '0.0', 4: '0.0', 5: 26, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.003518', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '27', 3: '0.0', 4: '0.0', 5: 27, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.003021', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '28', 3: '0.0', 4: '0.0', 5: 28, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.002927', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '29', 3: '0.0', 4: '0.0', 5: 29, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.002661', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '30', 3: '0.0', 4: '0.0', 5: 30, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.003894', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '31', 3: '0.0', 4: '0.0', 5: 31, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.003065', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '32', 3: '0.0', 4: '0.0', 5: 32, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.004281', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '33', 3: '0.0', 4: '0.0', 5: 33, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.002768', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '34', 3: '0.0', 4: '0.0', 5: 34, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.002851', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '35', 3: '0.0', 4: '0.0', 5: 35, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.00243', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '36', 3: '0.0', 4: '0.0', 5: 36, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.006674', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '37', 3: '0.0', 4: '0.0', 5: 37, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.003466', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '38', 3: '0.0', 4: '0.0', 5: 38, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.002836', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '39', 3: '0.0', 4: '0.0', 5: 39, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.003035', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '40', 3: '0.0', 4: '0.0', 5: 40, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.004868', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '41', 3: '0.0', 4: '0.0', 5: 41, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.003063', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '42', 3: '0.0', 4: '0.0', 5: 42, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.002904', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '43', 3: '0.0', 4: '0.0', 5: 43, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.003143', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '44', 3: '0.0', 4: '0.0', 5: 44, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.003629', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '45', 3: '0.0', 4: '0.0', 5: 45, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.004215', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '46', 3: '0.0', 4: '0.0', 5: 46, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.004255', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '47', 3: '0.0', 4: '0.0', 5: 47, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.002841', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '48', 3: '0.0', 4: '0.0', 5: 48, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.003018', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '49', 3: '0.0', 4: '0.0', 5: 49, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.005952', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '50', 3: '0.0', 4: '0.0', 5: 50, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.004717', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '51', 3: '0.0', 4: '0.0', 5: 51, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.002838', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '52', 3: '0.0', 4: '0.0', 5: 52, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.002734', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '53', 3: '0.0', 4: '0.0', 5: 53, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.003005', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '54', 3: '0.0', 4: '0.0', 5: 54, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.003686', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '55', 3: '0.0', 4: '0.0', 5: 55, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.003512', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '56', 3: '0.0', 4: '0.0', 5: 56, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.002755', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '57', 3: '0.0', 4: '0.0', 5: 57, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.002925', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '58', 3: '0.0', 4: '0.0', 5: 58, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.003302', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '59', 3: '0.0', 4: '0.0', 5: 59, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.004689', 10: '1.0', 11: '0.0', 12: '0.0'} 
