{0: 'ReplicaExchange_SwapSuccessRatio', 1: 'rmf_frame_index', 2: 'ReplicaExchange_MinTempFrequency', 3: 'MonteCarlo_Nframe', 4: 'MonteCarlo_Acceptance_BallMover2_3', 5: 'Total_Score', 6: 'Stopwatch_None_delta_seconds', 7: 'ReplicaExchange_MaxTempFrequency', 8: 'rmf_file', 'STAT2HEADER_IMP_VERSIONS': "{'PMI_VERSION': 'develop-5a48624', 'IMP_VERSION': 'develop-5a48624'}", 10: 'MonteCarlo_Acceptance_BallMover0_1', 11: 'ReplicaExchange_CurrentTemp', 12: 'MonteCarlo_Acceptance_created rigid body mover_0', 13: 'ExcludedVolumeSphere_None', 14: 'ConnectivityRestraint_None', 15: 'MonteCarlo_Acceptance_BallMover1_2', 9: 'MonteCarlo_Temperature', 'STAT2HEADER': 'STAT2HEADER', 'STAT2HEADER_ENVIRON': "{'VERSIONER_PYTHON_PREFER_32_BIT': 'no', 'TERM_PROGRAM_VERSION': '343.7', 'LOGNAME': 'riccardopellarin', 'USER': 'riccardopellarin', 'IMP_BIN_DIR': '/Users/riccardopellarin/imp-project/imp-060516/imp-fast/bin', 'PATH': '/Users/riccardopellarin/imp-project/imp-060516/imp-fast/bin:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/algebra:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/atom:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/bayesianem:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/benchmark:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/cgal:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/container:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/core:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/crosslinkms:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/display:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/domino:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/em:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/evcov:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/example:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/foxs:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/gsl:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/isd:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/kernel:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/kinematics:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/kmeans:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/misc:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/modeller:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/mpi:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/multi_state:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/multifit:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/parallel:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/pepdock:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/pmi:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/rmf:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/rotamer:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/saxs:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/saxs_merge:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/score_functor:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/scratch:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/statistics:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/symmetry:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/test:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/bin:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/bin:/opt/local/bin:/opt/local/sbin:/sw/bin:/sw/lib:/opt/local/bin:/opt/local/sbin:/usr/local/bin:/usr/bin:/bin:/usr/sbin:/sbin:/opt/X11/bin:/usr/texbin', 'DISPLAY': '/private/tmp/com.apple.launchd.kl3Q9vvxWi/org.macosforge.xquartz:0', 'TERM_PROGRAM': 'Apple_Terminal', 'LANG': 'en_US.UTF-8', 'TERM': 'xterm-256color', 'Apple_PubSub_Socket_Render': '/private/tmp/com.apple.launchd.aGinC80geS/Render', 'VERSIONER_PYTHON_VERSION': '2.7', 'SHLVL': '1', 'IMP_DATA': '/Users/riccardopellarin/imp-project/imp-060516/imp-fast/data', 'IMP_EXAMPLE_DATA': '/Users/riccardopellarin/imp-project/imp-060516/imp-fast/doc/examples', 'XPC_FLAGS': '0x0', 'IMP_TMP_DIR': '/Users/riccardopellarin/imp-project/imp-060516/imp-fast/tmp', 'HOME': '/Users/riccardopellarin', 'TERM_SESSION_ID': '1CD8B0E0-29C3-4B7A-95FA-0C4D0018FD45', 'XPC_SERVICE_NAME': '0', 'PYTHONPATH': '/Users/riccardopellarin/imp-project/imp-060516/imp-fast/lib:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/lib:', 'SSH_AUTH_SOCK': '/private/tmp/com.apple.launchd.6zWPZDMsdk/Listeners', 'DYLD_LIBRARY_PATH': '/Users/riccardopellarin/imp-project/imp-060516/imp-fast/lib:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/lib:', 'SHELL': '/bin/bash', 'TMPDIR': '/var/folders/8x/b3_nk3_12858h5q_fcc3t3nm0000gn/T/', '__CF_USER_TEXT_ENCODING': '0x1F5:0x0:0x0', 'PWD': '/Users/riccardopellarin/imp-project/T6SS_Base_Plate/data/scripts/cross-link_analysis'}"} 
{0: '0', 1: 0, 2: '0', 3: '0', 4: '0.9', 5: '0.228587833419', 6: '0.126934', 7: '0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.7', 11: '1.0', 12: '1.0', 13: '0.205735011169', 14: '0.0', 15: '0.7'} 
{0: '0.0', 1: 1, 2: '1.0', 3: '1', 4: '0.65', 5: '0.0', 6: '0.035277', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.55', 11: '1.0', 12: '1.0', 13: '0.0', 14: '0.0', 15: '0.75'} 
{0: '0.0', 1: 2, 2: '1.0', 3: '2', 4: '0.633333333333', 5: '0.212038181864', 6: '0.036868', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.633333333333', 11: '1.0', 12: '1.0', 13: '0.212038181864', 14: '0.0', 15: '0.7'} 
{0: '0.0', 1: 3, 2: '1.0', 3: '3', 4: '0.6', 5: '0.739693770291', 6: '0.036731', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.625', 11: '1.0', 12: '1.0', 13: '0.0', 14: '0.28546286093', 15: '0.725'} 
{0: '0.0', 1: 4, 2: '1.0', 3: '4', 4: '0.6', 5: '0.644950180905', 6: '0.03514', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.62', 11: '1.0', 12: '1.0', 13: '0.644950180905', 14: '0.0', 15: '0.76'} 
{0: '0.0', 1: 5, 2: '1.0', 3: '5', 4: '0.55', 5: '2.66916441489', 6: '0.036703', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.65', 11: '1.0', 12: '1.0', 13: '0.671720437722', 14: '1.99744397717', 15: '0.783333333333'} 
{0: '0.0', 1: 6, 2: '1.0', 3: '6', 4: '0.542857142857', 5: '0.0', 6: '0.034151', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.685714285714', 11: '1.0', 12: '1.0', 13: '0.0', 14: '0.0', 15: '0.771428571429'} 
{0: '0.0', 1: 7, 2: '1.0', 3: '7', 4: '0.55', 5: '0.310415267449', 6: '0.035935', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.7', 11: '1.0', 12: '1.0', 13: '0.0', 14: '0.0', 15: '0.775'} 
{0: '0.0', 1: 8, 2: '1.0', 3: '8', 4: '0.511111111111', 5: '0.451515729932', 6: '0.035519', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.688888888889', 11: '1.0', 12: '1.0', 13: '0.0', 14: '0.379571808229', 15: '0.766666666667'} 
{0: '0.0', 1: 9, 2: '1.0', 3: '9', 4: '0.47', 5: '0.540255146839', 6: '0.033444', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.66', 11: '1.0', 12: '1.0', 13: '0.000623353520852', 14: '0.539631793319', 15: '0.76'} 
{0: '0.0', 1: 10, 2: '1.0', 3: '10', 4: '0.481818181818', 5: '0.0', 6: '0.037706', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.663636363636', 11: '1.0', 12: '1.0', 13: '0.0', 14: '0.0', 15: '0.745454545455'} 
{0: '0.0', 1: 11, 2: '1.0', 3: '11', 4: '0.491666666667', 5: '2.73621449193', 6: '0.032887', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.658333333333', 11: '1.0', 12: '1.0', 13: '2.67483663437', 14: '0.0', 15: '0.741666666667'} 
{0: '0.0', 1: 12, 2: '1.0', 3: '12', 4: '0.469230769231', 5: '0.0', 6: '0.035545', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.676923076923', 11: '1.0', 12: '1.0', 13: '0.0', 14: '0.0', 15: '0.738461538462'} 
{0: '0.0', 1: 13, 2: '1.0', 3: '13', 4: '0.457142857143', 5: '0.691792362101', 6: '0.035218', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.671428571429', 11: '1.0', 12: '1.0', 13: '0.691792362101', 14: '0.0', 15: '0.742857142857'} 
{0: '0.0', 1: 14, 2: '1.0', 3: '14', 4: '0.48', 5: '0.173672235476', 6: '0.034634', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.673333333333', 11: '1.0', 12: '1.0', 13: '0.0', 14: '0.0', 15: '0.72'} 
{0: '0.0', 1: 15, 2: '1.0', 3: '15', 4: '0.5', 5: '0.0', 6: '0.038833', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.675', 11: '1.0', 12: '1.0', 13: '0.0', 14: '0.0', 15: '0.71875'} 
{0: '0.0', 1: 16, 2: '1.0', 3: '16', 4: '0.517647058824', 5: '0.0163607118433', 6: '0.036098', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.676470588235', 11: '1.0', 12: '1.0', 13: '0.0163607118433', 14: '0.0', 15: '0.723529411765'} 
{0: '0.0', 1: 17, 2: '1.0', 3: '17', 4: '0.527777777778', 5: '0.0', 6: '0.035122', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.688888888889', 11: '1.0', 12: '1.0', 13: '0.0', 14: '0.0', 15: '0.738888888889'} 
{0: '0.0', 1: 18, 2: '1.0', 3: '18', 4: '0.536842105263', 5: '0.0', 6: '0.037527', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.678947368421', 11: '1.0', 12: '1.0', 13: '0.0', 14: '0.0', 15: '0.731578947368'} 
{0: '0.0', 1: 19, 2: '1.0', 3: '19', 4: '0.54', 5: '1.07896654426', 6: '0.036537', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.68', 11: '1.0', 12: '1.0', 13: '0.727681252746', 14: '0.0', 15: '0.725'} 
{0: '0.0', 1: 20, 2: '1.0', 3: '20', 4: '0.528571428571', 5: '0.186571054306', 6: '0.034769', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.685714285714', 11: '1.0', 12: '1.0', 13: '0.186571054306', 14: '0.0', 15: '0.728571428571'} 
