{0: 'ReplicaExchange_SwapSuccessRatio', 1: 'ReplicaExchange_CurrentTemp', 2: 'score', 3: 'ReplicaExchange_MaxTempFrequency', 4: 'ReplicaExchange_MinTempFrequency', 'STAT2HEADER': 'STAT2HEADER', 'STAT2HEADER_IMP_VERSIONS': "{'PMI_VERSION': 'develop-5a48624', 'IMP_VERSION': 'develop-5a48624'}", 'STAT2HEADER_ENVIRON': "{'VERSIONER_PYTHON_PREFER_32_BIT': 'no', 'TERM_PROGRAM_VERSION': '343.7', 'LOGNAME': 'riccardopellarin', 'USER': 'riccardopellarin', 'IMP_BIN_DIR': '/Users/riccardopellarin/imp-project/imp-060516/imp-fast/bin', 'PATH': '/Users/riccardopellarin/imp-project/imp-060516/imp-fast/bin:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/algebra:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/atom:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/bayesianem:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/benchmark:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/cgal:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/container:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/core:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/crosslinkms:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/display:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/domino:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/em:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/evcov:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/example:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/foxs:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/gsl:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/isd:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/kernel:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/kinematics:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/kmeans:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/misc:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/modeller:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/mpi:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/multi_state:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/multifit:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/parallel:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/pepdock:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/pmi:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/rmf:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/rotamer:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/saxs:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/saxs_merge:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/score_functor:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/scratch:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/statistics:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/symmetry:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/test:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/bin:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/bin:/opt/local/bin:/opt/local/sbin:/sw/bin:/sw/lib:/opt/local/bin:/opt/local/sbin:/usr/local/bin:/usr/bin:/bin:/usr/sbin:/sbin:/opt/X11/bin:/usr/texbin', 'DISPLAY': '/private/tmp/com.apple.launchd.kl3Q9vvxWi/org.macosforge.xquartz:0', 'TERM_PROGRAM': 'Apple_Terminal', 'LANG': 'en_US.UTF-8', 'TERM': 'xterm-256color', 'Apple_PubSub_Socket_Render': '/private/tmp/com.apple.launchd.aGinC80geS/Render', 'VERSIONER_PYTHON_VERSION': '2.7', 'SHLVL': '1', 'IMP_DATA': '/Users/riccardopellarin/imp-project/imp-060516/imp-fast/data', 'IMP_EXAMPLE_DATA': '/Users/riccardopellarin/imp-project/imp-060516/imp-fast/doc/examples', 'XPC_FLAGS': '0x0', 'IMP_TMP_DIR': '/Users/riccardopellarin/imp-project/imp-060516/imp-fast/tmp', 'HOME': '/Users/riccardopellarin', 'TERM_SESSION_ID': '1CD8B0E0-29C3-4B7A-95FA-0C4D0018FD45', 'XPC_SERVICE_NAME': '0', 'PYTHONPATH': '/Users/riccardopellarin/imp-project/imp-060516/imp-fast/lib:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/lib:', 'SSH_AUTH_SOCK': '/private/tmp/com.apple.launchd.6zWPZDMsdk/Listeners', 'DYLD_LIBRARY_PATH': '/Users/riccardopellarin/imp-project/imp-060516/imp-fast/lib:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/lib:', 'SHELL': '/bin/bash', 'TMPDIR': '/var/folders/8x/b3_nk3_12858h5q_fcc3t3nm0000gn/T/', '__CF_USER_TEXT_ENCODING': '0x1F5:0x0:0x0', 'PWD': '/Users/riccardopellarin/imp-project/T6SS_Base_Plate/data/scripts/cross-link_analysis'}"} 
{0: '0', 1: '1.0', 2: 0.22858783341934175, 3: '0', 4: '0'} 
{0: '0.0', 1: '1.0', 2: 0.0, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 0.21203818186418483, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 0.7396937702914277, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 0.6449501809051157, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 2.6691644148870886, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 0.0, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 0.3104152674492489, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 0.4515157299319863, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 0.5402551468394755, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 0.0, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 2.736214491925603, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 0.0, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 0.691792362100643, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 0.17367223547602564, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 0.0, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 0.016360711843304898, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 0.0, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 0.0, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 1.0789665442598282, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 0.18657105430641174, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 0.0, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 0.7356297007766454, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 0.015383624124568679, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 0.0, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 0.0, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 0.261078651360237, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 0.6857027911927794, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 1.4500781650566064, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 1.59791868664734, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 0.020024339394349652, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 0.30681756638316393, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 0.009275605779752057, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 0.0, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 1.7581553845738267, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 0.0, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 1.0219797596661289, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 1.964687498482876, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 0.0, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 0.7497864269832801, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 0.0, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 1.1006135220828617, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 0.9396122263601818, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 2.001978384145436, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 0.0, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 0.22263430119428307, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 0.09171262433976743, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 0.052799459120825946, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 0.10199927657519296, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 0.004195944394813543, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 0.0, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 0.0, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 0.24176696589067562, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 0.6881636494405003, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 0.7761108059637681, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 0.26715370556317236, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 0.12204070112079649, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 0.0861313113269482, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 4.138062747836618, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 0.5607797441036502, 3: '0.0', 4: '1.0'} 
